Date,Open,High,Low,Close,Volume
10/11/2024,"30.66","31.11","30.45","30.84","38,676"
10/10/2024,"30.15","30.86","30.15","30.67","66,682"
10/09/2024,"30.81","31.03","30.35","30.35","71,185"
10/08/2024,"31.40","31.40","30.63","30.68","133,338"
10/07/2024,"31.73","31.84","31.11","31.20","70,620"
10/04/2024,"32.12","32.13","31.60","31.92","48,814"
10/03/2024,"32.17","32.24","31.65","31.71","54,779"
10/02/2024,"32.66","32.72","32.39","32.43","50,201"
10/01/2024,"32.61","32.88","32.36","32.75","71,239"
09/30/2024,"32.78","32.92","32.42","32.83","76,224"
09/27/2024,"33.01","33.23","32.65","32.82","54,985"
09/26/2024,"33.19","33.36","32.84","32.91","68,193"
09/25/2024,"33.09","33.09","32.69","32.78","69,037"
09/24/2024,"32.89","33.18","32.74","33.08","66,183"
09/23/2024,"33.01","33.18","32.55","32.95","78,635"
09/20/2024,"33.22","33.35","32.85","32.93","269,124"
09/19/2024,"33.52","33.59","32.89","33.38","101,510"
09/18/2024,"33.17","33.64","32.69","32.85","85,747"
09/17/2024,"33.23","33.61","32.82","33.16","130,900"
09/16/2024,"33.14","33.39","32.89","32.90","113,425"
09/13/2024,"32.70","33.09","32.55","33.02","114,313"
09/12/2024,"32.29","32.47","32.07","32.38","70,281"
09/11/2024,"32.07","32.19","31.68","32.10","69,730"
